t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,device
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,-0.1024,fan
