f_60,f_120,f_180,f_240,f_300,f_360,f_420,f_480,f_540,f_600,f_660,f_720,f_780,f_840,f_900,f_960,f_1020,f_1080,f_1140,f_1200,device
0.1278826552012091,0.0,0.021161381809133514,0.0,0.017792277738225743,0.0,0.007041750438886171,0.005520747866278906,0.0,0.0,0.004640024844934424,0.0,0.004039307585328727,0.0034220142741621606,0.00341238517828362,0.0,0.0035404811077271287,0.0034561545807042194,0.0031289596660425295,0.0027421130932535516,airConditioner
0.14415627814047105,0.0,0.01897567995312213,0.008720432310152784,0.02239870783277365,0.005886191872302639,0.005706717092988004,0.003986769482349323,0.0034162018925385272,0.0,0.003263872749903375,0.002297577055082882,0.002444942495873339,0.0,0.0024796707711288025,0.0,0.0025056990835506197,0.0,0.0025102793522536033,0.0022118619138221597,airConditioner
0.15495482757387893,0.029195229210972923,0.0,0.00441013433858596,0.021750340936353276,0.0,0.0025389246306103046,0.001481872288540397,0.0019193795073779258,0.0,0.0013076928704770312,0.0008963455020483616,0.0009252717982647463,0.0007504790330568151,0.000949965038187592,0.0,0.0010835880063002619,0.0005984484380413401,0.0,0.0011272087804959634,airConditioner
0.14536002382418328,0.009890340153233897,0.0,0.0,0.017786717509143138,0.005744293628739199,0.005439951288206187,0.003389813873108602,0.0,0.0024185946332529584,0.0029136144894870873,0.0,0.0,0.0020463973680210903,0.001657670226314583,0.002295000236846993,0.0019755147885335026,0.00230068135352666,0.001699263148539745,0.0,airConditioner
0.1297819329001078,0.0,0.016244090661594487,0.0,0.027265324692118047,0.008945699220106101,0.0,0.006412764498561202,0.0,0.005264702566774332,0.005118671123731989,0.00450604010064509,0.0,0.004522197604081905,0.003914743987303436,0.0,0.004165723404883371,0.0,0.0038638702632969707,0.0,airConditioner
0.13045522294453363,0.04433924252877586,0.0,0.015051541955323456,0.01920289023526657,0.0,0.008866019962622092,0.008173784359694809,0.00599442473261166,0.005491376928066873,0.005374609902887786,0.005311131547882867,0.005168592608339613,0.004262029295018222,0.004267404261890503,0.003690851343009758,0.0,0.0,0.004323293731898395,0.003998983665944203,airConditioner
0.14139175076651678,0.0,0.02199807136457372,0.0,0.024141774401380423,0.006305186881328518,0.0062349821781486625,0.004395860387097788,0.00435830588738566,0.0038318205109932712,0.0036875025619917466,0.003568869598737843,0.0,0.002791402090306021,0.0027233024289209907,0.0,0.002986571857020096,0.0027036399713044282,0.002800556853759868,0.0,airConditioner
0.15089761510117172,0.0,0.010851686166699142,0.0,0.021455247378863535,0.0,0.0016478828227116532,0.0014411528843342356,0.0,0.0002845108878244224,0.0011765832123717297,0.0,0.0006198159040194913,0.0,0.0005390261817998939,0.0006294657283866519,0.00026784728307904034,0.0006521997266172305,0.0,0.0,airConditioner
0.1474571125176625,0.033538200536640105,0.0,0.0,0.017369363388509914,0.0054211287671712075,0.00692962655858405,0.00419146437845766,0.0,0.003041052449399711,0.003527410104780038,0.0034363204265265234,0.0027312655794722463,0.0025264151900739455,0.0,0.002613603731994089,0.0,0.0021859898869737208,0.002719850919955483,0.0,airConditioner
0.1318705136936821,0.0,0.015989334083068973,0.0,0.02621116101317065,0.007620865593834063,0.0,0.007893695127928261,0.004934116181861123,0.0,0.00471183978925079,0.0,0.004116945986736712,0.004717111710082338,0.0036522856337716124,0.003603701317194535,0.0033834779868459996,0.003742935748333369,0.003375947106133295,0.003685713181303721,airConditioner
0.12793832668407193,0.017859034600668868,0.0,0.0,0.018603938823848826,0.008784619624602658,0.0,0.00518146393680697,0.005803450993144022,0.004824042356159576,0.0,0.0043773663533308894,0.0040012755039957985,0.0,0.0038351258109350864,0.003190442384271992,0.0,0.003091761495388683,0.003176446374181311,0.0,airConditioner
0.14307845259100174,0.0,0.022523686853344785,0.00802695448713429,0.021033419734093936,0.0,0.0060147489963575905,0.0,0.0045977129290146945,0.0035750244754406916,0.0,0.003486568197016069,0.0,0.002660835863702082,0.0028271574903521585,0.0,0.003019033159030941,0.0025913552622148918,0.002733817416999201,0.0,airConditioner
0.15316550213695135,0.029471181096187828,0.0,0.004998513885198157,0.021100408176888994,0.0026581906248543973,0.0,0.00215311498995482,0.0017099526059555692,0.0,0.0013700429769463866,0.0011982287799002012,0.000746479461601694,0.0013909233234974817,0.0,0.0011049519525274877,0.001151605175010984,0.0010023313491822005,0.0,0.001286399016110545,airConditioner
0.1456292552627498,0.0,0.011562363686461526,0.0,0.016952911857725093,0.0,0.0046313420939389826,0.0039008613509265155,0.0,0.0021399318961093663,0.0022034740987138452,0.0,0.0021822772854596328,0.0019420031740010981,0.00239132270327475,0.0,0.002181344449206796,0.0018555997204105245,0.0019813388301753716,0.0,airConditioner
0.13207507015199402,0.0,0.017108783495546877,0.013768860180899794,0.02392382647456477,0.009061930608384783,0.007784645332578988,0.0057982392437669426,0.0,0.005251572594326737,0.005425664949451038,0.004363403410049541,0.004041874181986118,0.004181605213419535,0.004348976233028531,0.004020868698939129,0.0,0.003603158654716397,0.0,0.003839414711865678,airConditioner
0.1288433727833685,0.042973210240008115,0.0,0.0,0.020360740237972665,0.009232956655525261,0.0,0.006712823048674231,0.006603895764738241,0.0,0.005518265319971311,0.0,0.0,0.004730896469679045,0.0,0.004449879961199119,0.0042529344191993956,0.0,0.003824799771490765,0.0,airConditioner
